,Tot,C,P,G,Incident,Aircraft,Location,Phase,Airport,Distance,Date,Airline,sole_survivor,no_survivor,prev_deadliest,prev_deadliest_no_survivor,COM,EXG,EXS,INB,INH,MIL
0,1700,11.0,81.0,1600.0,American Airlines Flight 11,Boeing 767-223ER,"New York City, New York, U.S.",ENR,,,2001-09-11,American Airlines,0,1,0,0,0,0,0,0,1,0
1,1000,9.0,56.0,900.0,United Airlines Flight 175,Boeing 767-222,"New York City, New York, U.S.",ENR,,,2001-09-11,United Airlines,0,1,0,0,0,0,0,0,1,0
2,583,23.0,560.0,0.0,Pan Am Flight 1736 and KLM Flight 4805,Boeing 747-121 and Boeing 747-206Bspct,"Tenerife, Spain",TXI/TOF,TFN,,1977-03-27,Pan Am and KLM,0,0,1,0,1,0,0,0,0,0
3,520,15.0,505.0,0.0,Japan Air Lines Flight 123,Boeing 747SR-46,"Mount Takamagahara,Ueno, Japan",ENR,,,1985-08-12,Japan Air Lines,0,0,0,0,1,0,0,0,0,0
4,349,33.0,316.0,0.0,Saudia Flight 763 and Kazakhstan Airlines Flight 1907,Boeing 747-168B and Ilyushin Il-76TD,"Charkhi Dadri, India",ENR,,,1996-11-12,Saudia and Kazakhstan Airlines,0,1,0,0,1,0,0,0,0,0
5,346,11.0,335.0,0.0,Turkish Airlines Flight 981,McDonnell Douglas DC-10-10,"Fontaine-Chaalis, France",ENR,,,1974-03-03,Turkish Airlines,0,0,0,1,1,0,0,0,0,0
6,329,22.0,307.0,0.0,Air India Flight 182,Boeing 747-237B,"Atlantic Ocean, area ofCork, Ireland",ENR,,,1985-06-23,Air India,0,1,0,0,0,0,0,1,0,0
7,301,14.0,287.0,0.0,Saudia Flight 163,Lockheed L-1011-200 TriStar,"Riyadh, Saudi Arabia",ENR,RUH,,1980-08-19,Saudia,0,1,0,0,1,0,0,0,0,0
8,298,15.0,283.0,0.0,Malaysia Airlines Flight 17,Boeing 777-2H6ER,"Hrabove, Donetsk Oblast, Ukraine",ENR,,,2014-07-17,Malaysia Airlines,0,1,0,0,0,1,0,0,0,0
9,290,16.0,274.0,0.0,Iran Air Flight 655,Airbus A300B2-203,"Strait of Hormuz, offShib Deraz, Iran",ENR,,,1988-07-03,Iran Air,0,1,0,0,0,1,0,0,0,0
10,280,12.0,229.0,39.0,Air India Flight 171,Boeing 787-8 Dreamliner,"Ahmedabad, India",ICL,,,2025-06-12,Air India,1,0,0,0,1,0,0,0,0,0
11,275,18.0,257.0,0.0,Iranian Revolutionary Guard Corps Aerospace Force (15-2280),Ilyushin Il-76MD,"Kerman, Iran",ENR,,,2003-02-19,Iranian Revolutionary Guard Corps Aerospace Force (15-2280),0,1,0,0,0,0,0,0,0,1
12,273,13.0,258.0,2.0,American Airlines Flight 191,McDonnell Douglas DC-10-10,"Des Plaines, Illinois, U.S.",TOF,ORD,1.4 km (0.76 NM),1979-05-25,American Airlines,0,1,0,0,1,0,0,0,0,0
13,270,16.0,243.0,11.0,Pan Am Flight 103,Boeing 747-121,"Lockerbie, United Kingdom",ENR,,,1988-12-21,Pan Am,0,1,0,0,0,0,0,1,0,0
14,269,23.0,246.0,0.0,Korean Air Lines Flight 007,Boeing 747-230B,"Sea of Japan, nearMoneron Island,Russian SFSR,USSR",ENR,,,1983-09-01,Korean Air Lines,0,1,0,0,0,0,1,0,0,0
15,265,9.0,251.0,5.0,American Airlines Flight 587,Airbus A300B4-605R,"Belle Harbor, New York City, New York, U.S.",ENR,,,2001-11-12,American Airlines,0,1,0,0,1,0,0,0,0,0
16,264,15.0,249.0,0.0,China Airlines Flight 140,Airbus A300B4-622R,"Komaki, Japan",APR,NKM,<0.1 km (0.054 NM),1994-04-26,China Airlines,0,0,0,0,1,0,0,0,0,0
